Landmark,lat,long,score,link
"McArthur-Burney Falls Memorial State Park, Burney Falls",41.012304,-121.651804,0.81472415,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-09-05_PM7q6oqGha.jpg
"Point Cabrillo Light",39.348768,-123.826111,0.1661137,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2013-03-04_WdfKnpKGnB.jpg
"Yosemite National Park, Yosemite Valley",37.715853,-119.67675,0.54152632,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-05-03_KJyFOeqGpb.jpg
"Yosemite National Park, El Capitan",37.723342,-119.640427,0.46552294,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-05-03_KJyFOeqGpb.jpg
"State Capitol",38.576714,-121.494133,0.57084358,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-09-15_PnAP4QqGkf.jpg
"Disneyland",33.811094,-117.921452,0.7145623,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-04-12_JVCR-4KGik.jpg
"Anaheim",33.81089,-117.919306,0.6867761,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-04-12_JVCR-4KGik.jpg
"Disney's California Adventure",33.805836,-117.920895,0.68456513,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-04-12_JVCR-4KGik.jpg
"California",33.831638,-117.91626,0.59517485,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-04-12_JVCR-4KGik.jpg
"Golden Gate Bridge",37.811013,-122.477801,0.5072279,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-09-10_PavnZZKGuH.jpg
"Golden Gate Bridge",37.815954,-122.463312,0.36219209,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-09-10_PavnZZKGuH.jpg
"Mission Santa Barbara",34.4379997253418,-119.713211,0.86651129,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-11-19_SOqy80qGlr.jpg
"Solvang",34.59449797360337,-120.141248,0.71276242,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-09-08_PUX0gTqGqs.jpg
