Landmark,lat,long,score,link
"Lake Placid",44.307881,-73.98273,0.51051909,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2013-10-19_fq4uvbPiHu.jpg
"Whiteface Mountain (New York)",44.366692,-73.903312,0.38476166,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2013-10-19_fq4uvbPiHu.jpg
"Whiteface Mountain",44.356551,-73.89209,0.46819305,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-01-23_jiOzffPiLf.jpg
"Triborough Bridge",40.779851,-73.924049,0.95404744,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2013-08-02_chicUqviPm.jpg
"Statue of Liberty",40.689261,-74.044482,0.51336581,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2013-08-30_dpsGKoPiJg.jpg
"New York",40.757042,-73.986192,0.97964603,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-12-07_wUDzBHviCf.jpg
"Times Square",40.756051,-73.986461,0.97951931,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-12-07_wUDzBHviCf.jpg
"Times Square",40.759011,-73.985,0.97234792,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-12-07_wUDzBHviCf.jpg
"Times Square",40.757196,-73.985989,0.96446902,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-12-07_wUDzBHviCf.jpg
"Times Square",40.75796,-73.98558139801025,0.91103518,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-12-07_wUDzBHviCf.jpg
"Times Square",40.759011,-73.98498,0.75386441,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-12-07_wUDzBHviCf.jpg
"Times Square",40.757107,-73.985967,0.68678242,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-12-07_wUDzBHviCf.jpg
"Times Square",40.757498,-73.985736,0.47032991,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-12-07_wUDzBHviCf.jpg
"Times Square",40.756132,-73.986697,0.36370105,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-12-07_wUDzBHviCf.jpg
"Statue of Liberty",40.689261,-74.044482,0.32799792,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2013-12-14_h6ZtlcviKy.jpg
"Statue of Liberty",40.689261,-74.044482,0.46341181,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-05-11_n3bfqIviCU.jpg
"Central Park",40.786455,-73.963222,0.53383696,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-01-16_jQRuuuviJ2.jpg
"Central Park",40.786455,-73.963222,0.38444439,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2013-11-15_gwtiajviPx.jpg
"Rainbow Bridge",43.083566,-79.0705,0.97212911,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2012-11-30_SqF16AviP4.jpg
"Niagara Falls",43.095489,-79.06105,0.39647812,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2012-11-30_SqF16AviP4.jpg
"Chittenango Falls State Park",42.979237,-75.841766,0.29971024,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2013-12-06_hmI-sAPiPv.jpg
"Schoharie Creek",42.939361,-74.281879,0.26504755,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-08-26_sLBZBTPiLG.jpg
"Strawberry Fields (memorial)",40.775744,-73.975281,0.69695026,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-09-21_tNVtvAPiCi.jpg
"One World Financial Center",40.712703,-74.01662,0.7526204,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-11-03_u9WySyviFO.jpg
"Manhattan",40.7151083,-74.01647799999999,0.31350705,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-11-03_u9WySyviFO.jpg
"Minnewaska State Park Preserve",41.734349,-74.236875,0.20084032,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2013-12-29_ifsOJjPiCF.jpg
"New York State Capitol",42.652125999999996,-73.756853,0.65369606,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-11-13_vWPBPLviBJ.jpg
"Watkins Glen State Park",42.37351,-76.878022,0.65004492,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2013-11-27_hPVvg0PiD5.jpg
"Manhattan Bridge",40.704343,-73.990439,0.41663772,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2013-10-15_ffa_SAPiEC.jpg
"Cabrera Bay",39.152629,2.931976,0.3513343,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-01-12_jF9M1uPiNi.jpg
"Queensboro Bridge",40.755059,-73.950026,0.50937706,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-09-15_s-AdjnPiKf.jpg
"Queensboro Bridge",40.75818026660039,-73.958008,0.31595692,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-09-15_s-AdjnPiKf.jpg
"Brooklyn Bridge",40.705726,-73.996953,0.42303765,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2013-10-04_fDHy6PviJs.jpg
"American Museum of Natural History",40.781613,-73.9735,0.62295973,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-11-22_vt_AWFviDU.jpg
"American Museum of Natural History",40.780943,-73.973528,0.55986917,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-11-22_vt_AWFviDU.jpg
"Fort Niagara",43.262687,-79.062488,0.61320263,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-07-24_q2GznYviDT.jpg
"Ausable Chasm",44.524384999999995,-73.463109,0.47011733,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-09-08_ss2GMJPiME.jpg
"Central Park",40.786455,-73.963222,0.47694287,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-01-15_jN0GlmviII.jpg
"Central Park",40.786455,-73.963222,0.41253957,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-09-13_s5ZGQBPiM6.jpg
